"h","iTest","fmethod","dset","calibration50","calibration80","mseBase","mseCombMintSample","mseCombMintShr","mseBayesDiag","mseBayesSample","mseBayesGlasso","mseBayesShr"
2,2,"arima","infantgts",NA,NA,403.138766086677,NA,293.056245654078,254.102447667796,178.671013234751,566.29949652993,264.17906209095
2,3,"arima","infantgts",NA,NA,259.682423318197,NA,196.665819245714,207.698489977896,211.877160856673,245.144301959614,210.006698875717
2,4,"arima","infantgts",NA,NA,1744.99289978455,NA,1536.33951156211,1416.66967572185,1056.00742621068,2117.03253301605,1330.24531935594
2,5,"arima","infantgts",NA,NA,1927.11555099453,NA,1661.77432144923,1561.8315327381,1141.75099460243,2426.4020426868,1445.51685560164
2,6,"arima","infantgts",NA,NA,1800.54061783741,NA,1894.0314678635,1739.86230549259,3839.6467274698,778.824973299217,1892.94050217889
2,7,"arima","infantgts",NA,NA,361.058011211794,NA,501.93800237664,407.263307326758,1528.61184061125,115.015297666681,489.905264578914
2,8,"arima","infantgts",NA,NA,276.109344390585,NA,163.79443407594,151.517220624042,852.013205466646,393.195175558102,201.242639058234
2,9,"arima","infantgts",NA,NA,611.785663157203,NA,634.119583162783,1185.00417895201,875.341886887349,250.391158993154,1326.22421073517
2,10,"arima","infantgts",NA,NA,6871.22287449206,NA,5547.21881210842,5895.05540013857,5414.54726483533,7223.89523505441,5579.83863734292
2,11,"arima","infantgts",NA,NA,4236.13766018743,NA,3426.00489628494,4029.82120416029,3790.69107090923,4366.54344729536,3896.05329957709
2,12,"arima","infantgts",NA,NA,6833.81434307976,NA,5962.37527081547,6262.65565615383,5900.10425915608,6986.6342911153,5993.20476109498
2,13,"arima","infantgts",NA,NA,2086.55070050635,NA,1489.2750004021,1851.99961909375,1633.54639004598,2148.45353420875,1688.83387865939
2,14,"arima","infantgts",NA,NA,591.889385435041,NA,645.412568036208,359.980554387189,503.923063198129,487.97497976232,427.958151399879
2,15,"arima","infantgts",NA,NA,1502.92059303117,NA,866.16958847678,1022.9796457769,870.259056359795,1726.15478291738,923.582650448343
2,16,"arima","infantgts",NA,NA,252.987431174249,NA,185.606260231989,198.52054292786,183.79808472192,272.952279948497,194.072281028083
2,17,"arima","infantgts",NA,NA,9533.1233896491,NA,14093.7384325755,8894.92589281185,10869.6665310019,9340.2389534086,9495.29275394219
2,18,"arima","infantgts",NA,NA,871.15625072251,NA,1141.78725761132,473.086907372691,767.707405749844,754.363258676905,577.034758285596
2,19,"arima","infantgts",NA,NA,1576.53951709079,NA,2359.80302102328,1476.00549949271,1854.93996229317,1536.153009427,1563.9874126493
2,20,"arima","infantgts",NA,NA,7852.08448435,NA,12703.5262683032,8429.77804368695,11477.2749812886,7765.34133176904,9737.24790986292
2,21,"arima","infantgts",NA,NA,921.289901478061,NA,1524.55782737402,924.710304619124,1244.10440176568,808.611914377244,1088.80337880731
2,22,"arima","infantgts",NA,NA,1339.84418368708,NA,1852.28627479886,1270.25329337474,1221.92183775588,1256.71970951486,1205.23909288456
2,23,"arima","infantgts",NA,NA,3911.48241891194,NA,7459.55800051684,5598.69979671876,8611.01743988827,3788.05996913326,7170.34895747886
2,24,"arima","infantgts",NA,NA,8269.12335674937,NA,17628.4184126498,11834.4070996609,19204.7613008706,7989.23376607353,15420.9093718025
2,25,"arima","infantgts",NA,NA,6627.96124804076,NA,11403.7185075412,9814.17563411356,14419.5310088422,6483.42415361627,11947.3646094279
2,26,"arima","infantgts",NA,NA,13927.9237490747,NA,20514.0114539247,17211.6575122696,22444.7585962174,13823.8279990304,19676.4177582193
2,27,"arima","infantgts",NA,NA,24796.2625788062,NA,38844.5430333129,32311.4680668947,41261.0012932537,24346.8472234027,37659.4605171819
2,28,"arima","infantgts",NA,NA,50445.3032511197,NA,62543.4671748121,58966.236575997,62751.880353666,50246.8701490527,62556.9558442739
2,29,"arima","infantgts",NA,NA,42706.6061104192,NA,64100.6969470565,52292.8308170669,63383.1024364546,42278.1199147728,57363.2565665737
2,30,"arima","infantgts",NA,NA,18599.744047513,NA,23591.4128457065,22841.5797836397,25282.5955410343,18490.8998452033,24555.6252260538
2,31,"arima","infantgts",NA,NA,34744.9610425058,NA,35501.395794911,32162.8956825866,31455.0751700908,34678.2399306148,31007.9351869262
2,32,"arima","infantgts",NA,NA,2570.36079300926,NA,2932.07605891588,2478.90421196414,2484.55007562151,2544.68392219346,2573.35788114884
2,33,"arima","infantgts",NA,NA,7412.3315407297,NA,8684.78071985618,8602.03678892999,9173.82469985928,7377.24036191798,8965.63548245416
2,34,"arima","infantgts",NA,NA,11156.9745885494,NA,9124.2020650132,10179.908655826,9659.60369513,11119.494002308,9515.19085582732
2,35,"arima","infantgts",NA,NA,7852.70299387285,NA,6236.38275429423,6248.87328445183,5682.86406006567,7735.31091075038,5381.075804408
2,36,"arima","infantgts",NA,NA,4381.60099903626,NA,2155.66608334381,2283.10734155925,2265.03037419798,3907.88467424505,2206.04997495677
2,37,"arima","infantgts",NA,NA,5387.32482819361,NA,4202.41539871373,3868.61968931965,4104.64203951952,5257.64327083794,3455.22739758731
2,38,"arima","infantgts",NA,NA,23149.0781104696,NA,22335.1222704964,22213.2775431522,22685.1887208516,23141.8562484073,21875.6555065625
2,39,"arima","infantgts",NA,NA,27372.0315620926,NA,26059.9585732446,26143.7480688019,26063.9774986537,27365.3080006629,25640.0085983275
2,40,"arima","infantgts",NA,NA,12278.9934166098,NA,11283.2884475306,11226.1277391351,11268.2394167387,12262.2618367271,10986.8807455618
2,41,"arima","infantgts",NA,NA,2078.58736419497,NA,1833.86573889166,1845.02131100079,1976.48503183336,2060.06043850963,1753.60892619838
2,42,"arima","infantgts",NA,NA,1192.95174332214,NA,1031.14724973117,1137.47534398856,1174.88546642041,1141.74918826974,1139.76645776885
2,43,"arima","infantgts",NA,NA,1801.72229786054,NA,1621.27116321701,1724.77766579914,1597.04139347354,1759.38443124734,1731.874806277
2,44,"arima","infantgts",NA,NA,1366.65463489684,NA,1034.91172865907,1135.52462676945,893.024597296481,1240.57858368777,1093.47300952805
2,45,"arima","infantgts",NA,NA,2421.31547088422,NA,2053.82879853056,1978.60996721973,2175.53306388823,2396.21700268737,1894.49444480996
2,46,"arima","infantgts",NA,NA,5151.19443813483,NA,5485.52181449862,5818.15960196447,5842.75768699682,5099.03195606561,5901.85335839381
2,47,"arima","infantgts",NA,NA,1797.3010763421,NA,1734.02744390821,1683.06293343104,1620.19736203003,1717.59954892455,1691.37927508751
2,48,"arima","infantgts",NA,NA,2474.43682255245,NA,2406.38103159663,2922.01838276868,2512.06570569935,2438.74018906692,2892.38553528388
3,1,"ets","infantgts",NA,NA,878.484009480764,NA,429.117345828591,833.24857937097,808.364557524344,884.490240546824,820.038075917825
3,2,"ets","infantgts",NA,NA,1652.90514005524,NA,510.501271260802,1288.26100727189,1314.07179582547,1765.53390950724,1237.68907843633
3,3,"ets","infantgts",NA,NA,574.817482950362,NA,5294.94948794263,540.961071933235,548.312978210575,594.84412384875,535.111554171253
3,4,"ets","infantgts",NA,NA,398.776415082766,NA,1333.88292707936,464.523497386522,464.384294580609,383.036141257093,482.272256504949
3,5,"ets","infantgts",NA,NA,423.71280797405,NA,732.484473724675,393.187582381353,400.185358509591,415.323453780744,388.927776269365
3,6,"ets","infantgts",NA,NA,3435.42815497265,NA,255.578633158203,3431.19886529845,3419.04104052235,3433.61363026713,3401.9539869733
