"h","iTest","fmethod","dset","calibration50","calibration80","mseBase","mseCombMintSample","mseCombMintShr","mseBayesDiag","mseBayesSample","mseBayesGlasso","mseBayesShr"
2,27,"ets","infantgts",NA,NA,25276.7413723178,NA,32415.5562861591,28442.1029475535,43937.8555146049,24964.5251612548,37160.5253553059
2,28,"ets","infantgts",NA,NA,51219.4962323821,NA,59096.808540049,54506.5729699568,67006.1087738734,51089.7769795855,61619.4905357425
2,29,"ets","infantgts",NA,NA,43225.5048828211,NA,51860.3123668617,47230.6207432146,60464.3316956895,43028.9258074866,55202.2474999301
2,30,"ets","infantgts",NA,NA,20130.4620813484,NA,22190.9456935549,21078.8869747327,23750.6087042562,20095.0076314654,22529.7159018376
2,31,"ets","infantgts",NA,NA,32471.846623129,NA,28324.6900236555,31080.1630706978,27919.154404315,32435.4453400822,28726.8326541088
2,32,"ets","infantgts",NA,NA,2075.30127411586,NA,1707.0143527228,1582.88793126928,899.653858372545,2016.33387108378,1062.6543826159
2,33,"ets","infantgts",NA,NA,8232.64189233404,NA,12016.6883735736,9468.64311805958,13697.9866915383,8123.3337622678,11847.9936342471
2,34,"ets","infantgts",NA,NA,11369.7540808071,NA,14047.6998338063,11930.4541631029,13842.2106032225,11341.2848733657,12861.0770390681
2,35,"ets","infantgts",NA,NA,7782.82891222999,NA,7581.17148113451,7800.2486799588,7824.43573719726,7776.36796612281,7701.01022529024
2,36,"ets","infantgts",NA,NA,4521.29923370325,NA,2712.96140176817,3252.76063283279,2207.11472304951,4384.80792415435,2397.29849530082
2,37,"ets","infantgts",NA,NA,2422.87637785662,NA,2734.80826380105,1876.45006049062,4156.25502851644,2162.92913533467,2930.5384252707
2,38,"ets","infantgts",NA,NA,14574.3407386949,NA,16652.0605537624,15478.5471082251,17866.8282285854,14542.5380206456,16890.0665055851
2,39,"ets","infantgts",NA,NA,25152.4182324245,NA,27937.6033667876,25727.5209941119,27332.2729364628,25142.7214907693,26357.519470706
2,40,"ets","infantgts",NA,NA,11983.3820124025,NA,10793.0249953932,11591.8966741375,10494.9196208899,11974.4778110643,10842.3118509776
2,41,"ets","infantgts",NA,NA,1438.08431187401,NA,1565.5106681648,1434.46639521244,1396.53583359824,1433.07731647272,1459.09260822104
2,42,"ets","infantgts",NA,NA,1611.17592796358,NA,1855.24077997788,1651.50013636763,1831.39386127183,1606.3103805497,1707.41872902309
2,43,"ets","infantgts",NA,NA,2536.0989503854,NA,2187.2053933102,2470.06196039748,2397.78552472779,2516.01774504376,2490.93266804642
2,44,"ets","infantgts",NA,NA,650.658062813798,NA,463.133764430267,442.048986479348,481.196392004379,598.854446055986,415.296597755401
2,45,"ets","infantgts",NA,NA,2574.76281078133,NA,2506.03881903794,2485.81004806848,2338.96093689933,2556.92870559281,2345.60170284584
2,46,"ets","infantgts",NA,NA,1784.28287796828,NA,1979.46378405502,1781.7877125508,2039.79231982513,1746.16414213466,1988.48284963267
2,47,"ets","infantgts",NA,NA,4842.03434795208,NA,3550.47469237981,3947.86533992236,3153.4050740312,4681.3462433406,3266.17985797007
2,48,"ets","infantgts",NA,NA,2291.58081669692,NA,1875.24266748708,1815.89945421596,3364.81254470096,2043.66025470791,2573.94605738245
2,1,"arima","infantgts",NA,NA,315.945259558209,NA,378.399588665924,328.052273693603,326.601336005285,304.099552841598,327.905175724329
2,2,"arima","infantgts",NA,NA,403.138766086677,NA,293.056245654078,303.598988336403,184.474618430522,398.485645302151,234.707358851215
2,3,"arima","infantgts",NA,NA,259.682423318197,NA,196.665819245714,220.169488516996,233.212284179924,228.928502998691,218.74141189527
2,4,"arima","infantgts",NA,NA,1744.99289978455,NA,1536.33951156211,1573.78638300692,1337.40374200933,1714.09753302252,1360.01145791387
2,5,"arima","infantgts",NA,NA,1927.11555099453,NA,1661.77432144923,1730.43636844203,1532.80082592381,1944.6059651103,1501.52501134274
2,6,"arima","infantgts",NA,NA,1800.54061783741,NA,1894.0314678635,1797.97992073753,1220.78995505613,1266.70000817406,1629.17363289251
2,7,"arima","infantgts",NA,NA,361.058011211794,NA,501.93800237664,363.535562547808,325.059841968961,178.109853265918,382.03267018054
2,8,"arima","infantgts",NA,NA,276.109344390585,NA,163.79443407594,140.193617115616,257.739244540213,176.994856392077,155.560868701466
