;;;;;;;;;;;;;;;;;;;;;;Ratios mse/base;;;;;;;;;;;;;;;
dset;h;iTest;fmethod;mseBase;mseBottomUp;mseMinT;mseBayesFull;mseBayesFullMeanS;mseBayesFullMedianS;mseBayesFullPosMeanS;mseBayesFullPosMedianS;mseBayes;mseBayesMeanS;mseBayesMedianS;mseBayesPosMeanS;mseBayesPosMedianS;esBayesFull;esBayesFullPos;esBayes;esBayesPos;;mseBayesFull;mseBayesFullMeanS;mseBayesFullMedianS;mseBayesFullPosMeanS;mseBayesFullPosMedianS;mseBayes;mseBayesMeanS;mseBayesMedianS;mseBayesPosMeanS;mseBayesPosMedianS;;;;;Mean ES;Median ES
infantgts;1;40;ets;7429.073596;8726.697363;NA;7029.489761;7050.756489;7046.088772;7023.636615;7032.38536;7877.477833;7867.589341;7864.300377;7894.014271;7895.285602;288.5206982;287.690326;332.6238288;333.3201072;;0.946213504;0.94907614;0.948447836;0.945425634;0.94660327;1.060358029;1.059026975;1.05858426;1.062583937;1.062755066;;;;;;
infantgts;1;41;ets;2673.198917;2163.489194;NA;2285.756922;2295.182603;2288.506024;2286.038359;2291.212673;2304.529955;2296.098776;2297.34224;2312.933528;2315.482866;166.9746222;167.2699106;166.9667468;167.5296137;;0.855064286;0.858590279;0.85609268;0.855169566;0.857105193;0.86208697;0.858933004;0.859398164;0.865230609;0.866184275;;;;;;
infantgts;1;42;ets;1816.450699;1579.334747;NA;1900.74503;1889.2196;1889.747029;1899.765251;1895.05188;1737.515825;1742.636915;1743.17713;1730.928026;1730.349821;147.7685408;148.6179653;140.3531695;140.237443;;1.046406066;1.040061039;1.040351401;1.045866674;1.04327185;0.956544445;0.959363729;0.95966113;0.952917702;0.952599387;;;;;;
infantgts;1;43;ets;391.872874;348.5571312;NA;357.8031197;359.4140119;359.582184;357.4097723;357.3366408;358.7813232;360.1465356;360.0661634;358.1738336;357.7557262;102.9168075;103.2942518;88.35491459;88.18096182;;0.913059166;0.917169918;0.917599068;0.912055404;0.911868783;0.915555393;0.919039207;0.91883411;0.914005172;0.912938225;;;;;;
infantgts;1;44;ets;3141.176593;3127.21402;NA;3538.24215;3544.906424;3542.256244;3537.148405;3540.037143;3163.591079;3176.642657;3174.034029;3174.279271;3175.437174;197.3185023;197.3996243;191.9530204;191.8075475;;1.126406633;1.128528218;1.127684528;1.126058437;1.126978073;1.007135698;1.011290694;1.010460232;1.010538305;1.010906926;;;;;;
infantgts;1;45;ets;6959.712005;4054.71253;NA;4707.673908;4700.302463;4703.015967;4705.454843;4700.438617;4889.147701;4889.930764;4894.024727;4875.968512;4875.015781;232.4885754;232.4879412;249.7244878;249.1239884;;0.676417919;0.675358759;0.675748646;0.676099074;0.675378322;0.702492818;0.702605332;0.703193569;0.700599178;0.700462286;;;;;;
infantgts;1;46;ets;2748.245302;3301.824779;NA;3083.919327;3091.013703;3085.500757;3101.317232;3107.053228;3050.737008;3054.257853;3055.681763;3063.304809;3065.825872;188.0165566;188.5571789;190.9109013;191.1347955;;1.122141216;1.124722637;1.122716649;1.128471767;1.130558915;1.110067215;1.11134834;1.111866455;1.114640242;1.115557578;;;;;;
infantgts;1;47;ets;1808.075524;1127.901588;NA;1364.068839;1360.97276;1355.574125;1351.057971;1347.787913;1349.369572;1346.436138;1346.28187;1341.469593;1341.686778;138.3207809;137.9609327;130.9200917;130.9079436;;0.754431339;0.752718978;0.749733132;0.747235364;0.745426778;0.746301553;0.744679147;0.744593825;0.741932278;0.742052398;;;;;;
infantgts;1;48;ets;2717.409959;2933.621921;NA;2144.617192;2152.293492;2151.302232;2202.206844;2202.549982;2343.108986;2350.510812;2354.922404;2367.479544;2370.531177;174.0900181;175.9893689;178.9425299;179.525996;;0.789213709;0.792038568;0.791673787;0.810406555;0.810532829;0.862258187;0.864982041;0.866605496;0.871226491;0.872349485;;;;;;
infantgts;1;49;ets;1287.026991;3125.86273;NA;1531.047071;1539.233951;1534.803107;1679.462055;1675.604719;1908.628285;1911.53528;1906.987158;1991.06484;1992.144525;143.5939819;147.8316044;151.1079826;154.0894797;;1.189599816;1.195960894;1.192518197;1.304915955;1.301918865;1.48297456;1.48523325;1.48169943;1.547026484;1.547865382;;;;;;
infantgts;2;1;ets;1102.115734;916.3078274;NA;964.1979372;967.905764;964.5519872;1423.690935;1366.961411;983.5627003;986.9373949;990.684274;1151.508362;1129.07442;120.4920986;132.8242459;111.4996818;117.1500783;;0.874860876;0.878225157;0.875182122;1.291779884;1.240306592;0.892431411;0.895493426;0.898893141;1.04481619;1.024460848;;;;;;
infantgts;2;2;ets;268.3146538;271.4612163;268.2393022;268.2422379;270.1339458;268.3705202;381.5729887;363.1581049;269.0513069;270.3556681;268.8603519;301.4503259;297.2549755;97.30088437;97.20765084;79.95510021;79.43610465;;0.999730108;1.006780442;1.000208212;1.422110136;1.353478462;1.002745482;1.007606794;1.002033799;1.123495574;1.107859639;;;;;;
infantgts;2;3;ets;787.0156273;403.5079659;NA;495.510828;499.5273794;498.2118804;776.3789982;738.1422146;561.8257803;566.3060429;564.6420221;656.566109;643.4311864;103.5719391;110.0215296;90.91714042;93.90327741;;0.629607356;0.634710877;0.633039375;0.986484857;0.937900328;0.713868646;0.71956137;0.717447027;0.834247868;0.817558336;;;;;;
infantgts;2;4;ets;342.8659548;291.9835348;NA;340.8828281;338.6390116;340.4288926;295.1304389;295.2257476;318.2125061;316.8806968;316.6437993;296.6692262;298.7502965;100.971659;97.9599129;83.1868697;81.97664196;;0.994216029;0.987671733;0.992892085;0.86077499;0.861052967;0.928095956;0.924211612;0.923520679;0.865263005;0.871332637;;;;;;
infantgts;2;5;ets;560.6745351;416.5407948;NA;541.3027812;536.833003;538.7341901;397.0024971;411.1250185;477.0157828;474.5658311;475.0900067;428.1441584;434.9990689;107.722038;102.1244388;89.79516465;87.85872393;;0.9654492;0.957477056;0.960867948;0.708080129;0.733268577;0.850789099;0.846419449;0.847354351;0.763623335;0.77584952;;;;;;
infantgts;2;6;ets;3483.028141;3266.572982;NA;3266.680244;3280.697606;3281.613584;3680.026845;3615.807374;3440.317525;3440.11096;3450.285044;3542.083369;3528.99608;188.0361967;198.1966868;198.9901074;201.981526;;0.937885114;0.94190959;0.942172573;1.056559607;1.03812178;0.987737505;0.987678199;0.990599244;1.01695514;1.013197694;;;;;;
infantgts;2;7;ets;1069.106256;1113.452454;NA;784.3478312;791.1452077;791.2001959;980.8506329;950.7023823;1091.607626;1094.661914;1098.677409;1143.052234;1136.870601;113.4292066;117.9378489;112.0878777;113.4452093;;0.733648154;0.740006153;0.740057587;0.917449157;0.889249667;1.021046898;1.023903759;1.027659695;1.069166163;1.063384107;;;;;;
infantgts;2;8;ets;469.4572335;769.0042231;NA;329.7551989;333.0823588;330.3302387;459.78506;440.1059203;603.6609029;602.9403538;604.8301813;645.8209678;639.8195282;99.80885524;102.3481936;93.07544968;94.0803948;;0.702417974;0.709505222;0.703642878;0.979397115;0.937478196;1.285869851;1.284334995;1.288360554;1.375675827;1.362892043;;;;;;
infantgts;2;9;ets;1835.745676;3066.159037;NA;2064.171663;2066.954422;2062.76373;2282.768571;2246.788807;2435.099149;2443.67383;2450.462096;2487.918304;2480.119582;153.2514976;158.5904552;163.8015659;164.8642884;;1.124432262;1.125948136;1.123665308;1.243510253;1.223910717;1.326490472;1.331161425;1.33485925;1.355263061;1.351014803;;;;;;
